NROGAR;DESC TIPGAR;MONEDA; M GARANTIA MO ; M GARANTIA MN ; SEGMENTO ; may_1MM 
1;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
2;FONDO MUTUO;USD; 52,938 ; 175,649 ;Banca Minorista;0
3;CUENTAS EN GTIA;PEN; 2,400 ; 2,400 ;Banca Minorista;0
4;CUENTAS EN GTIA;PEN; 2,793 ; 2,793 ;Banca Minorista;0
5;CUENTAS EN GTIA;PEN; 14,400 ; 14,400 ;Banca Minorista;0
6;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
7;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
8;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
9;FONDO MUTUO;PEN; 1,200 ; 1,200 ;Banca Minorista;0
10;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
11;DEPOSITO A PLAZO;PEN; 2,000 ; 2,000 ;Banca Minorista;0
12;CUENTAS EN GTIA;USD; 4,400 ; 14,599 ;Banca Minorista;0
13;FONDO MUTUO;PEN; 1,200 ; 1,200 ;Banca Minorista;0
14;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
15;FONDO MUTUO;PEN; 960 ; 960 ;Banca Minorista;0
16;CUENTAS EN GTIA;USD; 655 ; 2,173 ;Banca Minorista;0
17;FONDO MUTUO;USD; 385 ; 1,277 ;Banca Minorista;0
18;FONDO MUTUO;PEN; 1,200 ; 1,200 ;Banca Minorista;0
19;FONDO MUTUO;PEN; 1,000 ; 1,000 ;Banca Minorista;0
20;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
21;FONDO MUTUO;PEN; 1,200 ; 1,200 ;Banca Minorista;0
22;CUENTAS EN GTIA;PEN; 960 ; 960 ;Banca Minorista;0
23;CUENTAS EN GTIA;PEN; 14,400 ; 14,400 ;Banca Minorista;0
24;CUENTAS EN GTIA;USD; 2,380 ; 7,897 ;Banca Minorista;0
25;FONDO MUTUO;PEN; 6,000 ; 6,000 ;Banca Minorista;0
26;FONDO MUTUO;USD; 10,800 ; 35,834 ;Banca Minorista;0
27;CUENTAS EN GTIA;PEN; 4,980 ; 4,980 ;Banca Minorista;0
28;FONDO MUTUO;PEN; 1,200 ; 1,200 ;Banca Minorista;0
29;FONDO MUTUO;PEN; 800 ; 800 ;Banca Minorista;0
30;CUENTAS EN GTIA;PEN; 1,100 ; 1,100 ;Banca Minorista;0
31;DEPOSITO A PLAZO;USD; 51,200 ; 169,882 ;Banca Minorista;0
32;FONDO MUTUO;USD; 1,000 ; 3,318 ;Banca Minorista;0
33;CUENTAS EN GTIA;PEN; 2,400 ; 2,400 ;Banca Minorista;0
34;FONDO MUTUO;PEN; 6,000 ; 6,000 ;Banca Minorista;0
35;CUENTAS EN GTIA;USD; 270 ; 896 ;Banca Minorista;0
36;CUENTAS EN GTIA;PEN; 2,400 ; 2,400 ;Banca Minorista;0
37;FONDO MUTUO;PEN; 1,200 ; 1,200 ;Banca Minorista;0
38;FONDO MUTUO;PEN; 6,000 ; 6,000 ;Banca Minorista;0
39;FONDO MUTUO;PEN; 800 ; 800 ;Banca Minorista;0
40;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
41;CUENTAS EN GTIA;PEN; 2,400 ; 2,400 ;Banca Minorista;0
42;FONDO MUTUO;PEN; 3,600 ; 3,600 ;Banca Minorista;0
43;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
44;FONDO MUTUO;PEN; 1,200 ; 1,200 ;Banca Minorista;0
45;CUENTAS EN GTIA;PEN; 960 ; 960 ;Banca Minorista;0
46;FONDO MUTUO;USD; 27,500 ; 91,245 ;Banca Minorista;0
47;FONDO MUTUO;PEN; 2,000 ; 2,000 ;Banca Minorista;0
48;FONDO MUTUO;PEN; 2,400 ; 2,400 ;Banca Minorista;0
49;CUENTAS EN GTIA;PEN; 1,920 ; 1,920 ;Banca Minorista;0
50;FONDO MUTUO;PEN; 9,600 ; 9,600 ;Banca Minorista;0
51;FONDO MUTUO;PEN; 2,400 ; 2,400 ;Banca Minorista;0
52;CUENTAS EN GTIA;PEN; 1,200 ; 1,200 ;Banca Minorista;0
53;CUENTAS EN GTIA;USD; 470 ; 1,558 ;Banca Minorista;0
54;FONDO MUTUO;PEN; 1,200 ; 1,200 ;Banca Minorista;0
55;DEPOSITO A PLAZO;USD; 2,000 ; 6,636 ;Banca Minorista;0
56;DEPOSITO A PLAZO;PEN; 100,000 ; 100,000 ;Banca Minorista;0
57;FONDO MUTUO;PEN; 3,000 ; 3,000 ;Banca Minorista;0
58;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
59;CUENTAS EN GTIA;PEN; 2,300 ; 2,300 ;Banca Minorista;0
60;CUENTAS EN GTIA;PEN; 370 ; 370 ;Banca Minorista;0
61;FONDO MUTUO;PEN; 1,200 ; 1,200 ;Banca Minorista;0
62;FONDO MUTUO;PEN; 4,800 ; 4,800 ;Banca Minorista;0
63;FONDO MUTUO;PEN; 9,221 ; 9,221 ;Banca Minorista;0
64;FONDO MUTUO;PEN; 510,714 ; 510,714 ;Banca Minorista;0
65;FONDO MUTUO;PEN; 11,600 ; 11,600 ;Banca Minorista;0
66;FONDO MUTUO;PEN; 960 ; 960 ;Banca Minorista;0
67;SUPER DEPOSITO;PEN; 2,000 ; 2,000 ;Banca Minorista;0
68;DEPOSITO A PLAZO;PEN; 5,000 ; 5,000 ;Banca Minorista;0
69;FONDO MUTUO;PEN; 50,000 ; 50,000 ;Banca Minorista;0
70;FONDO MUTUO;PEN; 1,201 ; 1,201 ;Banca Minorista;0
71;FONDO MUTUO;PEN; 22,974 ; 22,974 ;Banca Minorista;0
72;DEPOSITO A PLAZO;PEN; 20,000 ; 20,000 ;Banca Minorista;0
73;CUENTAS EN GTIA;PEN; 5,600 ; 5,600 ;Banca Minorista;0
74;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
75;DEPOSITO A PLAZO;PEN; 376,300 ; 376,300 ;Banca Minorista;0
76;FONDO MUTUO;PEN; 666,300 ; 666,300 ;Banca Minorista;0
77;CUENTAS EN GTIA;PEN; 5,900 ; 5,900 ;Banca Minorista;0
78;DEPOSITO A PLAZO;PEN; 10,000 ; 10,000 ;Banca Minorista;0
79;DEPOSITO A PLAZO;PEN; 2,200 ; 2,200 ;Banca Minorista;0
80;DEPOSITO A PLAZO;PEN; 2,200 ; 2,200 ;Banca Minorista;0
81;DEPOSITO A PLAZO;PEN; 3,200 ; 3,200 ;Banca Minorista;0
82;DEPOSITO A PLAZO;PEN; 2,200 ; 2,200 ;Banca Minorista;0
83;FONDO MUTUO;PEN; 1,920 ; 1,920 ;Banca Minorista;0
84;DEPOSITO A PLAZO;PEN; 2,200 ; 2,200 ;Banca Minorista;0
85;FONDO MUTUO;PEN; 55,000 ; 55,000 ;Banca Minorista;0
86;DEPOSITO A PLAZO;PEN; 20,472 ; 20,472 ;Banca Minorista;0
87;FONDO MUTUO;PEN; 5,500 ; 5,500 ;Banca Minorista;0
88;DEPOSITO A PLAZO;PEN; 30,392 ; 30,392 ;Banca Minorista;0
89;FONDO MUTUO;PEN; 15,300 ; 15,300 ;Banca Minorista;0
90;DEPOSITO A PLAZO;PEN; 27,500 ; 27,500 ;Banca Minorista;0
91;CUENTAS EN GTIA;PEN; 3,400 ; 3,400 ;Banca Minorista;0
92;CUENTAS EN GTIA;PEN; 313,100 ; 313,100 ;Banca Minorista;0
93;DEPOSITO A PLAZO;PEN; 50,000 ; 50,000 ;Banca Minorista;0
94;FONDO MUTUO;PEN; 22,000 ; 22,000 ;Banca Minorista;0
95;FONDO MUTUO;PEN; 50,000 ; 50,000 ;Banca Minorista;0
96;DEPOSITO A PLAZO;PEN; 11,704 ; 11,704 ;Banca Minorista;0
97;CUENTAS EN GTIA;PEN; 4,800 ; 4,800 ;Banca Minorista;0
98;FONDO MUTUO;PEN; 4,800 ; 4,800 ;Banca Minorista;0
99;FONDO MUTUO;PEN; 1,200 ; 1,200 ;Banca Minorista;0
100;FONDO MUTUO;USD; 11,000 ; 36,498 ;Banca Minorista;0
101;DEPOSITO A PLAZO;PEN; 15,300 ; 15,300 ;Banca Minorista;0
102;DEPOSITO A PLAZO;PEN; 2,200 ; 2,200 ;Banca Minorista;0
103;DEPOSITO A PLAZO;PEN; 2,500 ; 2,500 ;Banca Minorista;0
104;FONDO MUTUO;PEN; 1,200 ; 1,200 ;Banca Minorista;0
105;FONDO MUTUO;PEN; 14,400 ; 14,400 ;Banca Minorista;0
106;FONDO MUTUO;PEN; 82,500 ; 82,500 ;Banca Minorista;0
107;DEPOSITO A PLAZO;PEN; 2,200 ; 2,200 ;Banca Minorista;0
108;FONDO MUTUO;PEN; 7,521 ; 7,521 ;Banca Minorista;0
109;DEPOSITO A PLAZO;PEN; 2,095 ; 2,095 ;Banca Minorista;0
110;DEPOSITO A PLAZO;PEN; 30,000 ; 30,000 ;Banca Minorista;0
111;DEPOSITO A PLAZO;PEN; 10,000 ; 10,000 ;Banca Minorista;0
112;DEPOSITO A PLAZO;PEN; 2,000 ; 2,000 ;Banca Minorista;0
113;DEPOSITO A PLAZO;PEN; 2,027 ; 2,027 ;Banca Minorista;0
114;DEPOSITO A PLAZO;PEN; 11,061 ; 11,061 ;Banca Minorista;0
115;DEPOSITO A PLAZO;PEN; 22,100 ; 22,100 ;Banca Minorista;0
116;FONDO MUTUO;USD; 1,200 ; 3,982 ;Banca Minorista;0
117;DEPOSITO A PLAZO;PEN; 25,200 ; 25,200 ;Banca Minorista;0
118;DEPOSITO A PLAZO;PEN; 2,200 ; 2,200 ;Banca Minorista;0
119;FONDO MUTUO;PEN; 5,500 ; 5,500 ;Banca Minorista;0
120;FONDO MUTUO;PEN; 14,400 ; 14,400 ;Banca Minorista;0
121;DEPOSITO A PLAZO;PEN; 6,771 ; 6,771 ;Banca Minorista;0
122;DEPOSITO A PLAZO;PEN; 4,499 ; 4,499 ;Banca Minorista;0
123;FONDO MUTUO;PEN; 840 ; 840 ;Banca Minorista;0
124;FONDO MUTUO;PEN; 39,600 ; 39,600 ;Banca Minorista;0
125;FONDO MUTUO;USD; 239 ; 793 ;Banca Minorista;0
126;CUENTAS EN GTIA;USD; 720 ; 2,389 ;Banca Minorista;0
127;FONDO MUTUO;PEN; 2,400 ; 2,400 ;Banca Minorista;0
128;CUENTAS EN GTIA;PEN; 265,519 ; 265,519 ;Banca Minorista;0
129;CUENTAS EN GTIA;PEN; 1,320 ; 1,320 ;Banca Minorista;0
130;CUENTAS EN GTIA;PEN; 271,633 ; 271,633 ;Banca Minorista;0
131;CUENTAS EN GTIA;PEN; 1,000 ; 1,000 ;Banca Minorista;0
