NROGAR,DESC TIPGAR,MONEDA,M GARANTIA MO,M GARANTIA MN,SEGMENTO,may_1MM
1,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
2,FONDO MUTUO,USD,52938.16,175648.81488,Banca Minorista,0
3,CUENTAS EN GTIA,PEN,2400,2400,Banca Minorista,0
4,CUENTAS EN GTIA,PEN,2793,2793,Banca Minorista,0
5,CUENTAS EN GTIA,PEN,14400,14400,Banca Minorista,0
6,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
7,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
8,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
9,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
10,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
11,DEPOSITO A PLAZO,PEN,2000,2000,Banca Minorista,0
12,CUENTAS EN GTIA,USD,4400,14599.2,Banca Minorista,0
13,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
14,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
15,FONDO MUTUO,PEN,960,960,Banca Minorista,0
16,CUENTAS EN GTIA,USD,655,2173.29,Banca Minorista,0
17,FONDO MUTUO,USD,385,1277.43,Banca Minorista,0
18,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
19,FONDO MUTUO,PEN,1000,1000,Banca Minorista,0
20,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
21,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
22,CUENTAS EN GTIA,PEN,960,960,Banca Minorista,0
23,CUENTAS EN GTIA,PEN,14400,14400,Banca Minorista,0
24,CUENTAS EN GTIA,USD,2380,7896.84,Banca Minorista,0
25,FONDO MUTUO,PEN,6000,6000,Banca Minorista,0
26,FONDO MUTUO,USD,10800,35834.4,Banca Minorista,0
27,CUENTAS EN GTIA,PEN,4980,4980,Banca Minorista,0
28,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
29,FONDO MUTUO,PEN,800,800,Banca Minorista,0
30,CUENTAS EN GTIA,PEN,1100,1100,Banca Minorista,0
31,DEPOSITO A PLAZO,USD,51200,169881.6,Banca Minorista,0
32,FONDO MUTUO,USD,1000,3318,Banca Minorista,0
33,CUENTAS EN GTIA,PEN,2400,2400,Banca Minorista,0
34,FONDO MUTUO,PEN,6000,6000,Banca Minorista,0
35,CUENTAS EN GTIA,USD,270,895.86,Banca Minorista,0
36,CUENTAS EN GTIA,PEN,2400,2400,Banca Minorista,0
37,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
38,FONDO MUTUO,PEN,6000,6000,Banca Minorista,0
39,FONDO MUTUO,PEN,800,800,Banca Minorista,0
40,FONDO MUTUO,PEN,840,840,Banca Minorista,0
41,CUENTAS EN GTIA,PEN,2400,2400,Banca Minorista,0
42,FONDO MUTUO,PEN,3600,3600,Banca Minorista,0
43,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
44,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
45,CUENTAS EN GTIA,PEN,960,960,Banca Minorista,0
46,FONDO MUTUO,USD,27500,91245,Banca Minorista,0
47,FONDO MUTUO,PEN,2000,2000,Banca Minorista,0
48,FONDO MUTUO,PEN,2400,2400,Banca Minorista,0
49,CUENTAS EN GTIA,PEN,1920,1920,Banca Minorista,0
50,FONDO MUTUO,PEN,9600,9600,Banca Minorista,0
51,FONDO MUTUO,PEN,2400,2400,Banca Minorista,0
52,CUENTAS EN GTIA,PEN,1200,1200,Banca Minorista,0
53,CUENTAS EN GTIA,USD,469.51,1557.83418,Banca Minorista,0
54,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
55,DEPOSITO A PLAZO,USD,2000,6636,Banca Minorista,0
56,DEPOSITO A PLAZO,PEN,100000,100000,Banca Minorista,0
57,FONDO MUTUO,PEN,3000,3000,Banca Minorista,0
58,FONDO MUTUO,PEN,840,840,Banca Minorista,0
59,CUENTAS EN GTIA,PEN,2300,2300,Banca Minorista,0
60,CUENTAS EN GTIA,PEN,370,370,Banca Minorista,0
61,FONDO MUTUO,PEN,1200,1200,Banca Minorista,0
62,FONDO MUTUO,PEN,4800,4800,Banca Minorista,0
63,FONDO MUTUO,PEN,9220.6,9220.6,Banca Minorista,0
64,FONDO MUTUO,PEN,510714.44,510714.44,Banca Minorista,0
65,FONDO MUTUO,PEN,11600,11600,Banca Minorista,0
66,FONDO MUTUO,PEN,960,960,Banca Minorista,0
67,SUPER DEPOSITO,PEN,2000,2000,Banca Minorista,0
68,DEPOSITO A PLAZO,PEN,5000,5000,Banca Minorista,0
69,FONDO MUTUO,PEN,50000,50000,Banca Minorista,0
70,FONDO MUTUO,PEN,1201,1201,Banca Minorista,0
71,FONDO MUTUO,PEN,22974.45,22974.45,Banca Minorista,0
72,DEPOSITO A PLAZO,PEN,20000,20000,Banca Minorista,0
73,CUENTAS EN GTIA,PEN,5600,5600,Banca Minorista,0
74,FONDO MUTUO,PEN,840,840,Banca Minorista,0
75,DEPOSITO A PLAZO,PEN,376300,376300,Banca Minorista,0
76,FONDO MUTUO,PEN,666300,666300,Banca Minorista,0
77,CUENTAS EN GTIA,PEN,5900,5900,Banca Minorista,0
78,DEPOSITO A PLAZO,PEN,10000,10000,Banca Minorista,0
79,DEPOSITO A PLAZO,PEN,2200,2200,Banca Minorista,0
80,DEPOSITO A PLAZO,PEN,2200,2200,Banca Minorista,0
81,DEPOSITO A PLAZO,PEN,3200,3200,Banca Minorista,0
82,DEPOSITO A PLAZO,PEN,2200,2200,Banca Minorista,0
